Drive folder,Brand,Drive name,Images,Matched SKU,Matched product,How
NATIONAL/Table/JEEP,NATIONAL,JEEP,34,NP-NTL-090,Jeep,exact
NATIONAL/Table/JUMBO,NATIONAL,JUMBO,8,NP-NTL-100,Jumbo,exact
NATIONAL/Table/MAHARAJA,NATIONAL,MAHARAJA,41,NP-NTL-099,Maharaja,exact
NATIONAL/Table/NEPTUNE,NATIONAL,NEPTUNE,13,NP-NTL-098,Neptune,exact
NATIONAL/Table/NEPTUNE KOLKATA,NATIONAL,NEPTUNE KOLKATA,5,,,NO MATCH
NATIONAL/Table/OPEL,NATIONAL,OPEL,30,NP-NTL-087,Opel,exact
NATIONAL/Table/OPEL TABLE NAT,NATIONAL,OPEL TABLE NAT,6,,,NO MATCH
NATIONAL/Table/ORBIT,NATIONAL,ORBIT,2,NP-NTL-094,Orbit,exact
NATIONAL/Table/PLATINA,NATIONAL,PLATINA,28,,,NO MATCH
NATIONAL/Table/PUNCH,NATIONAL,PUNCH,6,NP-NTL-097,Punch,exact
NATIONAL/Table/VEGAS,NATIONAL,VEGAS,31,NP-NTL-089,Vegas,exact
NATIONAL/Table/VERSA,NATIONAL,VERSA,25,NP-NTL-095,Versa,exact
NATIONAL/Table/VITARA,NATIONAL,VITARA,2,NP-NTL-093,Vitara,exact
NEXT/ARM CHAIRS/Avenger,NEXT,Avenger,32,NP-NXT-016,Avenger,exact
NEXT/ARM CHAIRS/CALIBER S.DLX,NEXT,CALIBER S.DLX,10,NP-NXT-004,Caliber Super DLX,exact
NEXT/ARM CHAIRS/CAMRY,NEXT,CAMRY,16,NP-NXT-018,Camry,exact
NEXT/ARM CHAIRS/DELL,NEXT,DELL,17,,,NO MATCH
NEXT/ARM CHAIRS/DELL NEXT,NEXT,DELL NEXT,12,,,NO MATCH
NEXT/ARM CHAIRS/DISCOVER S.DLX,NEXT,DISCOVER S.DLX,9,NP-NXT-003,Discover Super DLX,exact
NEXT/ARM CHAIRS/EASY,NEXT,EASY,12,NP-NXT-008,Easy,exact
NEXT/ARM CHAIRS/ETIOS,NEXT,ETIOS,40,,,NO MATCH
NEXT/ARM CHAIRS/MAGIK,NEXT,MAGIK,49,NP-NXT-012,Magik,exact
NEXT/ARM CHAIRS/MATT,NEXT,MATT,15,NP-NXT-007,Matt,exact
NEXT/ARM CHAIRS/NETT,NEXT,NETT,18,,,NO MATCH
NEXT/ARM CHAIRS/NEW,NEXT,NEW,11,,,NO MATCH
NEXT/ARM CHAIRS/NEW IKON,NEXT,NEW IKON,7,,,NO MATCH
NEXT/ARM CHAIRS/PRIME,NEXT,PRIME,50,NP-NXT-039,Primo,spelling-1
